Galaxy,Model,Vmax,LowErrorVmax,HighErrorVmax,Rmax,LowErrorRmax,HighErrorRmax
UMi,NFW,1.26,-0.03,0.07,-0.19,0.46,0.46
UMi,cISO,1.24,-0.02,0.03,-0.75,-0.77,0.41
Draco,NFW,1.42,-0.07,0.08,0.5,-0.24,0.23
Draco,cISO,1.36,-0.04,0.05,0.03,-0.13,0.12
Sculptor,NFW,1.43,-0.08,0.10,0.62,-0.25,0.29
Sculptor,cISO,1.35,-0.03,0.04,0.06,-0.08,0.11
Sextans,NFW,1.19,-0.06,0.07,0.31,-0.34,0.27
Sextans,cISO,1.18,-0.04,0.07,0.05,-0.28,0.21
Fornax,NFW,1.36,-0.05,0.04,0.8,-0.19,0.21
Fornax,cISO,1.33,-0.04,0.06,0.45,-0.14,0.17
Carina,NFW,1.28,-0.08,0.06,0.57,-0.26,0.16
Carina,cISO,1.14,-0.05,0.07,-0.09,-0.32,0.18
LeoII,NFW,1.16,-0.03,0.06,-0.58,-0.49,0.47
LeoII,cISO,1.17,-0.03,0.04,-1.3,-0.46,0.68
LeoI,NFW,1.42,-0.12,0.13,0.7,-0.38,0.35
LeoI,cISO,1.33,-0.06,0.07,0.12,-0.19,0.17
CVnI,NFW,1.24,-0.1,0.15,0.33,-0.6,0.44
CVnI,cISO,1.19,-0.06,0.15,-0.09,-0.41,0.38
